FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Terance Mann,Lac,G-F,26.02,3,9.9,20.7,13.2,0,2,0.5,6,0.833,2,0.5,0.813,0.788,4.7,1.7,9,0.3,5.7,0,0,0,5.4,162.5,100.6
Tre Mann,Okc,G,21.72,3,26.5,55.2,20.3,7.6,6,0.5,17,0.588,17,0.235,0.471,0.478,11.7,3,5.4,3,17,0.67,0,1,7.1,104.6,102.1
Boban Marjanovic,Hou,C,34.19,2,3.7,7.6,23.8,23.1,3,0.667,2,0.5,0,0,0.5,0.602,2,1.5,20.9,0.5,19.7,0,0,0.5,12.4,,
Lauri Markkanen,Uta,F-C,25.43,4,35.6,74.1,24,6,18,0.833,42,0.595,29,0.241,0.5,0.545,21.5,8.8,13.2,3,12.8,1,0.5,1.25,9.3,118.6,106.4
Naji Marshall,Nor,F,24.75,3,13.2,27.4,13.8,7.3,4,0.75,9,0.444,2,0,0.364,0.431,3.7,2,8.1,1,9.1,0.67,0.67,0.33,5.9,102.6,101.4
Kenyon Martin Jr.,Hou,F,21.8,4,27.9,58.1,14.8,14.6,7,0.714,17,0.412,15,0.267,0.406,0.442,7.8,4.8,8.7,2,9.8,0.75,0.5,1.5,6,96,104.4
Caleb Martin,Mia,F,27.07,3,26.5,55.2,14.5,3.9,2,1,18,0.389,6,0.167,0.354,0.382,6.3,5.3,11,1.7,9.5,1.33,0,0.33,5.8,97.9,98.9
Cody Martin,Cha,F,27.07,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Tyrese Martin,Atl,0,23.64,1,1.7,3.5,24.8,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
Garrison Mathews,Hou,G,26,4,12.8,26.6,9,8.7,1,1,0,0,10,0.2,0.3,0.335,1.8,1,4,0.3,2.5,0,0.25,0.25,2.5,77.4,109.8
Bennedict Mathurin,Ind,0,20.35,4,27.8,57.9,28.4,10,19,0.789,36,0.528,28,0.429,0.578,0.615,22.3,5.8,10.7,2,11.6,0.5,0,2,9.2,117.4,108
Wesley Matthews,Mil,G,36.03,2,16.3,33.9,9.6,0,0,0,2,0.5,5,0.4,0.571,0.571,4,3,9.5,1,8.1,0,0.5,0,5.6,141,111.5
Tyrese Maxey,Phi,G,21.97,4,37.5,78,22.3,9.7,16,0.75,37,0.486,21,0.333,0.491,0.53,17.3,2,3.1,2.8,11.9,1,0,1.75,4.9,105.3,106.8
Miles McBride,Nyk,G,22.13,1,3.4,7.1,10.6,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
CJ McCollum,Nor,G,31.1,3,34.4,71.7,25.9,8.9,8,0.875,35,0.6,23,0.304,0.543,0.569,23.3,4.7,7.2,6.7,29,1.67,0,2,10.5,118.7,102.4
T.J. McConnell,Ind,G,30.58,4,15.4,32.1,17.9,25,0,0,21,0.381,0,0,0.381,0.381,4,2.3,7.6,3,25.3,1.25,0.25,1.75,7.8,82.4,110.3
Jalen McDaniels,Cha,F-C,24.73,3,23.4,48.8,12.1,9.6,2,1,9,0.444,9,0.667,0.722,0.742,9.3,5,10.9,2.3,12.1,0.33,1,0.67,8.1,143.3,103.5
Jaden McDaniels,Min,F,22.07,4,31.4,65.4,13,7.5,16,0.875,23,0.652,7,0,0.5,0.594,11,3.5,5.2,1,4.2,1.75,1,0.75,4.3,124.7,102.1
Doug McDermott,San,F,30.81,4,17.5,36.5,17.3,10,0,0,13,0.385,14,0.5,0.574,0.574,7.8,1.8,5.4,1.3,9.6,0,0.25,0.75,6,108.1,111.1
JaVale McGee,Dal,C-F,34.76,2,13.6,28.3,18.6,25.5,4,0.25,7,0.571,0,0,0.571,0.514,4.5,5,21.9,1,10.7,0.5,1.5,1.5,8.3,95,86.8
Bryce McGowens,Cha,0,19.96,2,3.5,7.3,11.6,0,0,0,1,1,1,0,0.5,0.5,1,0,0,0,0,0,0.5,0,0,,
Rodney McGruder,Det,G,31.24,1,4.7,9.8,25.6,0,0,0,0,0,3,0.333,0.5,0.5,3,1,10.2,0,0,0,0,0,0,99.1,116.6
Jordan McLaughlin,Min,G,26.54,4,16,33.3,10.8,23.5,0,0,6,0.667,7,0.143,0.423,0.423,2.8,2.5,7.3,3,23.6,0.75,0,1,6.9,96.4,105.3
De'Anthony Melton,Phi,G,24.41,4,18.2,37.9,13.6,0,3,1,10,0.5,10,0.4,0.55,0.586,6.3,2.5,8.1,0.5,4.2,1.25,0,0,4.4,124.2,102
Chimezie Metu,Sac,F-C,25.59,2,5.6,11.6,14.6,0,2,1,2,0.5,1,0,0.333,0.515,2,2,20.6,0.5,11.5,0.5,0.5,0,9,125.5,79
Patty Mills,Bro,G,34.2,3,17.7,36.8,17.8,0,6,1,2,0.5,17,0.471,0.684,0.739,10.7,0.7,2.1,0.7,5.4,0,0,0,3.9,151.4,123.1
Shake Milton,Phi,G-F,26.08,1,6.2,12.9,0,,0,0,0,0,0,0,,,0,1,9.4,1,20.5,0,0,0,0,,95.5
Davion Mitchell,Sac,G,24.14,3,17.9,37.3,17.1,9.1,0,0,11,0.455,9,0.111,0.325,0.325,4.3,1.3,4.3,3,22,0,0,0.67,5.7,83.8,98.2
Donovan Mitchell,Cle,G,26.13,3,37.9,78.9,36.2,14,24,0.875,43,0.535,26,0.423,0.572,0.628,33.3,5.3,8.6,7,33.4,2,0.33,4.33,11.3,119.5,104.7
Evan Mobley,Cle,C,21.35,3,32.3,67.3,17.6,20.9,12,0.917,22,0.591,3,0.333,0.58,0.661,13.3,5.3,10,1.3,5.8,1.33,1,2.67,5.6,111.1,106.1
Isaiah Mobley,Cle,0,23.09,1,4.1,8.5,10.8,0,0,0,0,0,1,1,1.5,1.5,3,1,14.8,0,0,0,0,0,0,300,83
Malik Monk,Sac,G,24.72,3,19.1,39.8,22.9,15.9,1,0,9,0.222,17,0.353,0.423,0.416,7.3,3.7,11,4,28.5,1.33,0.33,1.67,10,95.7,102.7
Moses Moody,Gol,G,20.4,3,12.9,26.9,15.2,20.3,4,0.75,2,0.5,8,0.25,0.4,0.468,3.7,1,4.3,0.3,3.1,0.33,0.33,1,3.2,79.6,111.8
Wendell Moore Jr.,Min,0,21.1,1,2.5,5.2,32.5,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
Ja Morant,Mem,G,23.21,4,33.2,69.2,36.2,12,43,0.86,64,0.531,20,0.6,0.619,0.685,35.3,4.3,6.9,7,41.6,1,0.75,3.5,12.3,132.1,107.6
Marcus Morris Sr.,Lac,F,33.15,3,25.1,52.4,19.6,6,3,1,21,0.714,9,0.444,0.7,0.718,15,4.7,10,1.3,9.8,1,0,0.67,7.2,134.8,99.6
Markieff Morris,Bro,F,33.15,2,11,22.9,11.9,16.7,0,0,1,0,4,0.5,0.6,0.6,3,2,10.1,0,0,0,0.5,0.5,0,101.9,104.6
Monte Morris,Was,G,27.33,3,24.8,51.6,14.9,8,2,1,15,0.4,7,0.714,0.614,0.634,9.7,4.3,10.3,5,28.9,1,0.33,0.67,9.6,136.5,105.6
Trey Murphy III,Nor,F,22.35,3,27.8,58,15.1,9.4,4,0.75,12,0.417,15,0.6,0.685,0.695,13.3,7,13.4,1,4.7,1,0.33,1,6.5,132,95.8
Dejounte Murray,Atl,G,26.1,3,38.9,81,23.3,17,8,1,36,0.5,14,0.357,0.51,0.551,19.7,7.3,9.7,8.3,32.3,3.33,0.67,3.67,10.9,107.2,105.8
Jamal Murray,Den,G,25.67,3,26.7,55.6,25.6,16.6,7,0.571,25,0.4,12,0.333,0.432,0.449,12,2.7,5.8,2.3,12.1,1.33,0,2.67,6.3,82.7,116.9
Keegan Murray,Sac,0,22.18,2,35.6,74.2,16.9,13.9,2,1,8,0.75,16,0.438,0.688,0.703,17.5,4.5,7.2,1,4.1,0.5,1,2,4.8,118.9,103.2
Mike Muscala,Okc,F-C,31.32,3,12.5,26.1,24.6,4.4,4,1,7,0.857,13,0.385,0.675,0.712,10.3,6,22.9,0.7,9.7,0,0.33,0.33,11.2,138.9,91.9
Svi Mykhailiuk,Nyk,G-F,25.38,1,1.8,3.8,22.8,0,0,0,0,0,1,1,1.5,1.5,3,2,53.8,0,0,0,0,0,0,,
Larry Nance Jr.,Nor,F-C,29.81,3,21.7,45.2,13.1,14,1,0,16,0.625,2,0,0.556,0.542,6.7,6,14.8,3.3,19.5,0.33,1,1,9.4,119.9,104.8
Andrew Nembhard,Ind,0,22.77,3,20.5,42.7,16.5,3.9,2,1,9,0.556,15,0.333,0.521,0.543,9,2.7,6.7,3.3,22,0.67,0,0.33,8.4,126,111.2
Aaron Nesmith,Ind,G-F,23.03,4,21.1,43.9,16.3,8.6,2,1,16,0.438,15,0.267,0.419,0.439,7,2.8,6.8,1,6.2,0,1,0.75,5.1,92.5,105.6
Raul Neto,Cle,G,30.43,3,9.8,20.3,19.7,15.4,0,0,8,0.625,3,0,0.455,0.455,3.3,2,12.5,1.3,20,0.67,0,0.67,8.4,95,105.3
Georges Niang,Phi,F,29.36,4,14.2,29.6,14.6,5.6,2,1,3,0.667,13,0.462,0.688,0.711,6,0.5,2.1,0.8,8.2,0.25,0,0.25,3.8,137.5,107.8
Daishen Nix,Hou,G,20.7,2,18,37.4,9.8,11.4,4,0.75,4,0.75,2,0,0.5,0.58,4.5,1,2.8,1.5,11.1,0,0.5,0.5,4.2,126.1,110.8
Zeke Nnaji,Den,F-C,21.79,2,6.7,14,22.3,14.3,0,0,5,0.8,1,0,0.667,0.667,4,0,0,0,0,0.5,0,0.5,0,100.4,64.1
Jaylen Nowell,Min,G,23.3,4,21.9,45.5,28.2,1.6,6,0.667,34,0.529,23,0.261,0.474,0.486,14.5,5,10.7,2,15.3,1,0,0.25,9.6,105.3,99.1
Kendrick Nunn,Lal,G,27.23,3,14.6,30.4,23.2,24,0,0,6,0.333,13,0.231,0.342,0.342,4.3,1.7,5.8,1.7,16.8,0.33,0.33,2,6.3,59.8,97.9
Jusuf Nurkic,Por,C,28.17,4,31.5,65.5,18.6,16.7,20,0.85,34,0.441,2,0,0.417,0.525,11.8,12.3,22,3.3,14.9,0.75,0.75,2.25,9.9,109.8,100.7
Jordan Nwora,Mil,F,24.13,2,16.8,34.9,18.7,21.4,0,0,6,0.5,5,0.6,0.682,0.682,7.5,3,9.2,0,0,0,0,1.5,0,95.8,109.8
Chuma Okeke,Orl,F,24.19,4,15.2,31.7,10.5,6.7,2,1,3,0.333,10,0.3,0.423,0.468,3.3,2.8,9.8,1.3,11,0,0,0.25,6,117.1,104
Josh Okogie,Pho,G,24.15,3,6.3,13.1,11.4,0,2,1,2,0.5,2,0,0.25,0.41,1.3,1.7,15.2,0,0,0.33,0,0,0,104.2,88.9
Onyeka Okongwu,Atl,F-C,21.87,3,20.3,42.3,15.9,13.1,9,0.444,16,0.688,0,0,0.688,0.651,8.7,5.7,14.4,0.3,2.4,0.33,0.67,1,4.8,121.5,91.7
Isaac Okoro,Cle,F-G,21.75,3,19.7,41,10.6,28.6,0,0,5,0.4,5,0,0.2,0.2,1.3,1,3.1,0,0,0.33,0,1.33,0,30.1,102.9
KZ Okpala,Sac,F-G,23.49,3,12.6,26.3,5.5,0,0,0,1,0,4,0.25,0.3,0.3,1,2,9,0.7,6.2,0,0,0,3.6,104.4,100.1
Kelly Olynyk,Uta,F-C,31.52,4,28.4,59.1,19,24.5,9,0.778,22,0.5,14,0.786,0.764,0.776,15.5,3.8,7.1,3.3,16.7,1.25,0.25,3.25,8.2,119.7,97.6
Eugene Omoruyi,Okc,F,25.69,3,9.9,20.7,22.1,6.2,5,0.8,9,0.667,4,0.25,0.577,0.625,6.3,2.3,11.2,0.3,5.5,0,0,0.33,6.6,130.3,81.4
Royce O'Neale,Bro,F,29.39,3,36.4,75.8,11.5,6.9,2,1,12,0.333,14,0.357,0.442,0.465,8.3,4.7,7.2,3.3,11.7,2,2,0.67,5.5,105.8,108.4
Cedi Osman,Cle,F,27.55,3,28.3,59,18.1,5.8,6,1,16,0.563,14,0.571,0.7,0.735,16,1.7,3.6,2.7,14.4,0.33,0,0.67,5.9,144.1,101.7
Kelly Oubre Jr.,Cha,F-G,26.88,3,28.4,59.2,23.6,6.1,8,0.75,28,0.5,15,0.4,0.535,0.559,17.3,6,10.8,0.7,3.2,2,0,1,5.9,111.6,98.1
Chris Paul,Pho,G,37.47,3,33,68.8,15.9,16.8,4,1,17,0.471,11,0.091,0.339,0.386,7.7,5,8.6,10.7,42.8,2.67,0.33,2,9,105.7,97.3
Cameron Payne,Pho,G,28.21,3,16.7,34.9,25.2,20.9,4,0.75,13,0.385,8,0.375,0.452,0.483,7.3,1.3,4.5,1.3,11.6,0.67,0,2,5.5,84.5,103.1
Theo Pinson,Dal,G-F,26.97,1,7,14.6,5.4,0,2,1,0,0,0,0,,1.136,2,2,17,1,17.1,0,0,0,9.1,,103.2
Scotty Pippen Jr.,Lal,0,21.95,1,1.9,4,18.8,0,2,1,0,0,0,0,,1.136,2,0,0,0,0,0,0,0,0,,
Mason Plumlee,Cha,F-C,32.64,3,22.5,46.9,16.2,14.9,11,0.545,18,0.611,0,0,0.611,0.613,9.3,6.7,15.1,4.7,25.9,0,0.67,1.33,11.8,127.6,102.5
Jakob Poeltl,San,C,27.03,4,28.3,58.9,20.8,13.8,23,0.609,40,0.6,0,0,0.6,0.619,15.5,10.8,20.4,3.5,17.7,0.5,0.5,2,11.8,125.8,105.5
Aleksej Pokusevski,Okc,C,20.83,3,16.7,34.8,17.7,13.8,4,0.75,10,0.2,7,0.286,0.294,0.346,4.3,3.3,9.5,1,7.9,0.67,0.67,1,5.8,81.6,106.3
Jordan Poole,Gol,G,23.35,3,27.5,57.4,23.9,18.1,15,0.8,18,0.444,16,0.313,0.456,0.53,14.3,1,2,6,28.7,2,0,3,6.4,104.4,108.1
Kevin Porter Jr.,Hou,G-F,22.47,4,34.4,71.7,26.5,14.3,20,0.85,48,0.375,21,0.476,0.478,0.533,20.8,6.8,10,5.5,25.4,1.5,0.25,3.25,10.7,112.2,105.4
Michael Porter Jr.,Den,F,24.32,4,29.1,60.6,22.4,13.1,5,0.8,19,0.526,32,0.5,0.667,0.677,18,5.8,11.5,1.3,6.3,0.75,0.5,2,7.1,115.9,102.9
Bobby Portis,Mil,F,27.7,2,22.6,47.1,22.8,13,0,0,15,0.6,5,0.4,0.6,0.6,12,9,20.6,0.5,3.6,0.5,0.5,1.5,6.7,107.4,104.5
Kristaps Porzingis,Was,F-C,27.23,3,32.8,68.4,23.1,9.8,7,0.571,25,0.44,18,0.389,0.5,0.51,15.7,8,14.3,2.7,12.3,0.67,1.67,1.67,8.5,100.5,97.3
Dwight Powell,Dal,F-C,31.27,1,7.1,14.8,11.4,53.2,2,0.5,0,0,0,0,,0.568,1,0,0,0,0,0,1,1,0,,82.4
Norman Powell,Lac,G,29.42,3,24.9,51.8,23.7,22.5,9,0.667,20,0.3,7,0.143,0.278,0.339,7,3.3,7.2,1.3,7.7,1,0,3,5,59.7,104.2
Jason Preston,Lac,0,23.21,1,2.9,6,28.7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Joshua Primo,San,G,19.84,4,23.4,48.6,17.8,26.9,9,0.778,14,0.429,12,0.25,0.404,0.467,7,3.3,7.5,4.5,23.6,0.25,0.5,2.75,8,89.6,107.6
Taurean Prince,Min,F,28.59,4,15.7,32.8,13.6,14.3,0,0,7,0.571,11,0.636,0.806,0.806,7.3,3,8.9,1.3,11.4,0,0,0.75,7.8,137.3,97.7
Payton Pritchard,Bos,G,24.74,2,4.6,9.5,29.1,0,0,0,3,0,3,0.667,0.5,0.5,3,0.5,6.3,1,34.1,0,0,0,10,118.8,106.5
Immanuel Quickley,Nyk,G,23.36,3,22.4,46.7,18.6,16.4,1,1,10,0.5,15,0.2,0.38,0.393,6.7,5.3,11.5,5,27.9,0.33,0,1.67,10,94.4,98.9
Julius Randle,Nyk,F-C,27.9,3,31.5,65.6,25.2,8.6,14,0.714,29,0.621,18,0.333,0.574,0.602,21.3,9.7,14.8,3.3,15.9,1,0,1.67,11.2,122.9,88.6
Austin Reaves,Lal,G,24.41,3,19,39.5,9.8,14.5,4,1,3,0.667,7,0.286,0.5,0.595,4.7,1.3,3.6,1.3,9.7,0.33,0,0.67,4.2,116.5,101.9
Cam Reddish,Nyk,F-G,23.15,3,20.3,42.4,21.8,15.4,1,1,18,0.611,9,0.444,0.63,0.638,11.7,3.7,8.7,0.7,4.9,1,0.33,1.67,6.1,107.9,91.1
Davon Reed,Den,G,27.37,3,8.8,18.3,15.9,40.5,2,0.5,2,0,3,0.333,0.3,0.34,1.3,0.7,4.4,0.3,4.4,1,0,1.33,2.9,45.8,107.7
Paul Reed,Phi,F,23.36,2,7,14.5,10,33.3,0,0,2,0,0,0,0,0,0,1,8.4,0,0,0.5,0.5,0.5,0,0,93.1
Naz Reid,Min,C-F,23.16,3,11.7,24.4,22.9,5.1,4,0.5,11,0.545,6,0.333,0.529,0.533,6.7,2.3,9.3,0.7,8.8,0.33,1.33,0.33,7.6,110.6,92.3
Nick Richards,Cha,C,24.9,3,22.6,47.1,18.8,0,12,0.75,26,0.692,0,0,0.692,0.719,15,9,20.3,0.3,2.1,0,0.67,0,6.1,157.1,107.2
Josh Richardson,San,G,29.11,4,20.8,43.4,19.8,14.8,6,1,13,0.538,19,0.474,0.641,0.678,11.8,2,5.2,1.5,10,0.75,0,1.5,6.3,114.9,107.2
Austin Rivers,Min,G,30.23,2,4.6,9.6,4.4,0,0,0,1,0,0,0,0,0,0,0.5,5.1,0,0,0,0,0,0,0,111.5
Duncan Robinson,Mia,F,28.51,4,11.8,24.6,16.5,0,1,1,5,0.6,12,0.5,0.706,0.717,6.3,2.3,10.5,1,14.9,0,0,0,8.3,149.3,93.5
Jeremiah Robinson-Earl,Okc,F,21.97,3,18.8,39.1,12.9,11.2,2,1,4,1,11,0.636,0.967,0.976,10.3,3,7.6,1,8.3,1,0,0.67,6.7,165.3,96
Mitchell Robinson,Nyk,C-F,24.57,3,21.9,45.7,12.1,10.3,10,0.4,13,0.846,0,0,0.846,0.747,8.7,4.3,9.6,0.3,2,0.33,2.33,0.67,4.1,144,94.2
Isaiah Roby,San,F,24.72,3,11.8,24.6,14.1,8.1,3,0.333,6,0.5,4,0.5,0.6,0.574,4.3,2.7,12.2,2,22,1.33,0.67,0.33,9.7,128.4,98.8
David Roddy,Mem,0,21.58,4,16.6,34.6,20.4,9.1,2,1,14,0.429,15,0.133,0.31,0.335,5,2,6.5,0.8,6.2,0.25,0,0.75,4.8,76.3,100.9
Ryan Rollins,Gol,0,20.31,2,1.5,3,13.7,0,0,0,1,0,0,0,0,0,0,0.5,19.2,0.5,37.6,0,0,0,0,,
Derrick Rose,Nyk,G,34.06,3,12.3,25.7,24.2,13.7,2,1,8,0.375,10,0.4,0.5,0.53,6.7,2.3,9.2,2.7,29.6,0,0.33,1,11.3,111.8,98.8
Terrence Ross,Orl,G-F,31.72,4,33.7,70.3,14.9,4.2,5,0.8,18,0.667,25,0.44,0.663,0.675,15.3,3.8,6,1,4.6,0.75,0.25,0.5,4.6,133.7,107.8
Terry Rozier,Cha,G,28.61,2,33,68.6,32.5,11.4,8,0.875,28,0.393,15,0.4,0.465,0.505,23.5,7,10.8,8.5,36.5,0.5,1.5,3,13.6,109.8,112.1
D'Angelo Russell,Min,G,26.67,4,32.8,68.3,23.1,17.5,17,0.941,32,0.531,22,0.364,0.537,0.602,18.5,4.5,6.4,5.5,24.6,1.5,0.75,3.25,9.4,111.2,103.7
Matt Ryan,Lal,F,25.52,2,15.2,31.7,12,11.1,0,0,3,0.333,5,0.4,0.5,0.5,4,1,3.3,0,0,0.5,0,0.5,0,83.6,102.6
Domantas Sabonis,Sac,F-C,26.48,3,30,62.6,21.2,10.9,20,0.65,27,0.556,5,0,0.469,0.527,14.3,9.3,17.8,5.3,25.1,1,1.33,1.67,11.9,117.7,91.5
Dario Saric,Pho,F,28.55,1,1.7,3.5,25.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Alperen Sengun,Hou,C,20.25,3,24,50.1,25.7,17.4,16,0.563,24,0.667,7,0.286,0.613,0.618,15.7,10,21.2,1,7.1,0.67,1,2.67,9,113.1,99.2
Collin Sexton,Uta,G,23.81,4,18.6,38.8,26.9,10.2,21,0.857,26,0.423,9,0.333,0.443,0.554,12.3,4.5,13,2,15.5,0.5,0,1.25,10.3,118.6,102.5
Landry Shamet,Pho,G,25.62,1,13.4,27.9,19.3,0,2,1,0,0,5,0.4,0.6,0.68,8,1,4.3,1,10.7,1,0,0,6,147.6,100.9
Day'Ron Sharpe,Bro,F,20.97,3,15.7,32.8,15.3,6,6,0.5,12,0.417,1,0,0.385,0.416,4.3,6,21.3,0.7,5.6,0.67,1,0.33,6.7,106.6,88.9
Shaedon Sharpe,Por,0,19.41,4,15.2,31.6,17.7,12.1,4,0.75,13,0.462,7,0.571,0.6,0.62,6.8,2.3,8.4,0.5,5.1,0.25,0.25,0.75,5.2,118.2,100.9
Pascal Siakam,Tor,F,28.56,4,38.2,79.6,31.8,11.9,33,0.697,65,0.523,17,0.294,0.506,0.549,26.5,10,14.7,6.8,34.3,1.5,0.75,3.25,12.7,111.2,97.5
Ben Simmons,Bro,G-F,26.26,3,27.9,58.2,14.1,40.6,7,0.429,12,0.583,1,0,0.538,0.529,5.7,6,12,7,31.9,0.33,0.67,3.67,8.9,90.2,98.1
Marko Simonovic,Chi,C,23.03,1,1.7,3.5,25.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Anfernee Simons,Por,G,23.38,4,37.3,77.7,25.2,11.6,8,0.875,37,0.486,36,0.333,0.493,0.516,19.8,2.5,3.8,3,13.2,1.25,0.25,2.5,5.7,100.5,112.5
Jericho Sims,Nyk,C,24.01,1,3.4,7.1,0,,0,0,0,0,0,0,,,0,1,14.2,0,0,0,0,0,0,,
Marcus Smart,Bos,G,28.64,4,34.7,72.2,15,19.2,9,0.889,12,0.667,22,0.227,0.456,0.514,9.8,2.8,4.5,6,22.5,1,0.5,2.25,6.3,109,109.9
Dennis Smith Jr.,Cha,G,24.92,3,25.7,53.5,18.2,11.6,1,1,23,0.522,7,0.714,0.65,0.657,13.3,2,4,4.7,24.4,2.67,1,1.33,7.8,129,104.9
Jabari Smith Jr.,Hou,0,19.45,4,32.2,67.1,19.2,1.6,10,1,25,0.36,31,0.355,0.455,0.505,15.3,7,11.1,1.3,5.7,0,1.75,0.25,6.4,120.3,101.2
Ish Smith,Den,G,34.3,2,4.2,8.6,15.4,66.7,0,0,1,0,0,0,0,0,0,0.5,7,0.5,13.4,0,0,1,0,19.7,96.2
Jalen Smith,Ind,F-C,22.61,4,20.4,42.6,25.2,5.7,10,0.6,28,0.643,17,0.235,0.533,0.547,13.5,8.8,22.2,0.8,5.8,0.25,1.25,0.75,8.9,112.5,103.3
Jeremy Sochan,San,0,19.43,4,20.6,42.8,14,10.6,3,0.333,17,0.647,7,0,0.458,0.454,5.8,4.8,12.4,1.3,7.8,0.75,0.25,0.75,6.4,96.3,99.8
Jaden Springer,Phi,G,20.08,1,2,4.2,43.6,0,2,0.5,1,0,0,0,0,0.266,1,2,58.5,0,0,0,1,0,0,,
Lamar Stevens,Cle,F,25.3,1,4.1,8.5,10.8,0,0,0,1,0,0,0,0,0,0,1,14.8,0,0,0,0,0,0,0,110.4
Isaiah Stewart,Det,F-C,21.43,3,28.7,59.9,17.5,8,22,0.636,11,0.455,14,0.214,0.38,0.476,11,10.3,17.3,2,9.8,1,0.33,1,8.5,108.8,101.3
Max Strus,Mia,G-F,26.58,4,30.4,63.3,17.5,6.3,6,0.667,17,0.647,25,0.32,0.548,0.56,12.5,4.8,8.6,1.8,9.5,0,0.5,0.75,6.3,111.1,105.3
Jalen Suggs,Orl,G,21.39,2,20.6,42.8,25.7,28.3,4,0.5,7,0.714,9,0.444,0.688,0.676,12,1.5,3.9,2,16.4,2.5,0,3.5,6.4,99.4,86.8
Edmond Sumner,Bro,G,26.82,2,10.9,22.7,19.7,40.5,2,1,2,1,3,0,0.4,0.51,3,0.5,2.6,2,23.6,0,0,2,5.3,77.9,117.3
Cole Swider,Lal,0,23.47,1,1.9,4,21.4,0,0,0,0,0,1,0,0,0,0,1,26.8,1,66.5,0,0,0,0,,
Jayson Tatum,Bos,F-G,24.65,4,37.1,77.3,30.2,6.9,31,0.903,49,0.673,32,0.375,0.63,0.687,32.5,8.3,12.7,3.5,16.8,0.75,1.25,1.75,10.6,132.9,109.4
Terry Taylor,Ind,G,23.09,4,20.5,42.6,10.9,4.4,4,0.75,13,0.385,7,0.286,0.4,0.437,4.8,3.8,9.5,1.3,7.5,0.5,0.75,0.25,5.6,110.2,109.2
Dalen Terry,Chi,0,20.29,2,3.1,6.5,20.8,33.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,,
Cam Thomas,Bro,G,21.03,1,12.7,26.5,13.7,0,0,0,3,0.333,1,0,0.25,0.25,2,0,0,1,10,0,0,0,0,67.6,123.7
Klay Thompson,Gol,G,32.71,3,23.4,48.8,26.2,15.2,5,0.8,14,0.5,23,0.348,0.514,0.536,14,3.3,7.9,3,18.2,0.33,0,2.33,8.8,99.1,107.8
JT Thor,Cha,F,20.16,2,12.2,25.3,10.1,16.7,0,0,1,1,4,0.25,0.5,0.5,2.5,3.5,14.7,0,0,0,1,0.5,0,91.2,104.6
Matisse Thybulle,Phi,G-F,25.64,4,1.5,3.1,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Xavier Tillman,Mem,F,23.78,3,10.5,21.8,17,15.4,0,0,8,0.5,3,0.333,0.5,0.5,3.7,3.3,17.1,0.7,9.2,0,0.67,0.67,7.8,104,106.6
Xavier Tillman,Mem,F,23.78,3,10.5,21.8,17,15.4,0,0,8,0.5,3,0.333,0.5,0.5,3.7,3.3,17.1,0.7,9.2,0,0.67,0.67,7.8,104,106.6
Obi Toppin,Nyk,F,24.64,3,16,33.4,20.3,8.4,2,1,15,0.667,6,0.333,0.619,0.64,9.3,3.7,11.1,1.7,15.5,0.33,0.33,0.67,9.7,128.9,101.8
Juan Toscano-Anderson,Lal,F,29.54,3,18.5,38.6,12,18.2,1,1,5,0.8,8,0.125,0.423,0.446,4,3.3,9.2,1,7.7,0.67,0,1,5.1,78.2,101.8
